confirm_deny,url,title,detail,location,speaker,bio,start_date,start_time,end_date,end_time
Confirmed,https://www.eventbrite.com/e/women-in-tech-entrepreneurship-813-tech-day-by-tbtw-tickets-1993939460602?aff=ebdssbdestsearch,Women in Tech & Entrepreneurship + 813 Tech Day by TBTW,"A casual gathering of high-performing, non-conforming women founders, tech workers, VCs, and hype girls

This month’s Tampa Chapter meeting is special as we’re partnering with Tampa Bay Tech Week to celebrate 8-1-3 Day during - a community-wide celebration of the people, companies, and ideas driving our region’s thriving innovation ecosystem. It’s the perfect opportunity to expand your network, exchange ideas, and build meaningful relationships with women across industries who believe that collaboration is more powerful than competition.",,,,2026-08-13,,2026-08-13,
Confirmed,https://www.eventbrite.com/e/tampa-job-fairs-tampa-career-fairs-tickets-1996240559250?aff=ebdssbdestsearch,Tampa Job Fairs - Tampa Career Fairs,Get invited to meet Tampa technology employers hiring now.,,,,2026-08-27,,2026-08-27,
Confirmed,,Beyond Data: Imperfect Physics as a Prior for Reinforcement Learning,"Reinforcement learning (RL) promises agents that can improve through experience using only the supervision provided by a reward function. In robotics, however, real-world interaction is expensive, dense rewards are difficult to specify, and sparse rewards often lead to sample-inefficient learning. In this talk, I explore whether imperfect physics priors can nevertheless provide useful structure for RL.  Focusing on goal-conditioned RL (GCRL) for robot navigation and manipulation, I show how control-theoretic principles can serve as inductive biases for policy learning. We first connect goal-reaching value functions to time-to-go fields and interpret the Eikonal equation as a simplified surrogate for the Hamilton-Jacobi-Bellman equation, motivating Eikonal-informed value learning for challenging navigation problems. We then study its interaction with the quasimetric structure typical of GCRL. Their combination reveals the limitations of imposing these priors globally and motivates a hierarchical formulation. This becomes particularly important in contact-rich manipulation, where hybrid dynamics induce state-dependent controllability and motivate applying physics-informed structure only to appropriate state representations. ",,Vittorio Giammarino,"Vittorio Giammarino is an Assistant Professor in the Department of Industrial and Management Systems Engineering at the University of South Florida, where he leads the Learning-enabled Autonomy (LEA) Lab. His research lies at the intersection of Reinforcement Learning and Control Theory with a focus on developing data-efficient, safe, and physically grounded learning methods for autonomous systems. Before joining USF, he was a Postdoctoral Research Associate at Purdue University. He received his Ph.D. in Systems Engineering from Boston University, his M.Sc. in Systems and Control from TU Delft, and his B.Sc. in Automation Engineering.",2026-09-11,,2026-09-11,
Confirmed,https://members.tampabay.tech/communityeventscalendar/Details/advanced-ai-engineer-certification-1905177?sourceTypeId=Website,Advanced AI Engineer Certification,,,,,2026-08-15,,2026-08-15,
Confirmed,https://tampa.dev/events/f015f38c-1bdf-4e21-906a-551f4906998b,Microsoft Azure AI Foundey,"Microsoft AZURE AI Foundry - A Project Manager's Perspective Presentation Overview Travis has attended multiple AI-focused sessions at the ECC and has found significant value in learning from the developers, engineers, and AI practitioners within the Tampa AI Applications Meetup community. After several recent encounters with Microsoft Azure AI Foundry, Travis began exploring the platform and recognized an opportunity to introduce an enterprise-level Microsoft AI development and delivery environ",,,,2026-09-10,,2026-09-10,
Confirmed,https://tampa.dev/events/3d4374c5-b964-4e43-8aff-62930873d10f,Building a Mini-Software Factory using Pi.dev and Local LLMs,"Most AI coding assistants are sealed cloud platforms heavy on dashboards and light on local control. Enter pi.dev—an open-source, terminal-based agent harness that strips away the bloat to give local LLMs direct access to a minimal toolset (read, write, edit, bash). In this talk, we’ll explore how to harness this minimalist architecture to build a local ""mini-software factory."" I’ll show you how to feed a structured application specification to pi.dev and watch it autonomously architect, generat",,,,2026-09-14,,2026-09-14,
Confirmed,https://members.tampabay.tech/communityeventscalendar/Details/advanced-ai-engineer-certification-1905181?sourceTypeId=Website,Advanced AI Engineer Certification,,,,,2026-09-15,,2026-09-15,
Confirmed,https://business.stpete.com/eventcalendar/Details/ai-101-part-4-how-to-best-use-ai-to-automate-all-your-promotion-including-social-media-the-three-1895572?sourceTypeId=Website,"AI 101 Part 4: How To Best Use AI To Automate All Your Promotion, Including Social Media: The Three",Automate your social media content from research to posting - whether you're just getting started or ready to build a fully custom AI content machine.,,,,2026-09-15,,2026-09-15 00:00:00,
Confirmed,https://members.tampabay.tech/communityeventscalendar/Details/future-proof-your-workforce-with-tampa-bay-tech-1915906?sourceTypeId=Website,Future-Proof Your Workforce with Tampa Bay Tech,"How Leading Employers Are Solving the Talent Shortage Through Apprenticeships The workforce is changing faster than ever. Between AI, evolving skill requirements, an aging workforce, and increasing competition for experienced talent, employers are ...",,,,2026-09-15,,2026-09-15,
Confirmed,https://members.tampabay.tech/communityeventscalendar/Details/advanced-ai-engineer-certification-1905186?sourceTypeId=Website,Advanced AI Engineer Certification,,,,,2026-10-15,,2026-10-15,
Confirmed,https://www.meetup.com/dataanalyticstampa/events/313005514/,Data Analytics & AI — Tampa Bay Monthly Meetup,"Join local experts in discussing current trends and topics in the analytics field, including AI and ML, data science, business analytics, systems design, database management, data mining, and more","2101 E Palm Ave · Tampa, FL",Ashish Bhutada,,2026-09-09 00:00:00,,2026-09-15 00:00:00,
Confirmed,https://www.joinaiweek.com/tampa,The AI Conference for Tampa Innovators,"Tampa AI Week blends conference-level insights with the energy of a high-impact meetup. As a leading Florida AI Conference, Tampa AI Week brings together operators, executives, developers, and innovators for practical sessions, community events, and meaningful connections across the Tampa AI ecosystem.",Museum of Science & Innovation - MOSI,,,2026-10-14 00:00:00,,2026-10-15 00:00:00,
Confirmed,https://cancode.org/programs/ai-webinar/,Voice as an Interface: Working Faster with AI,"Can Code Communities monthly webinars help make AI accesible to everyone covering topics like LLM chatbots, prompt engineering, agentic systems and more.",,,,2026-08-28 00:00:00,,2026-08-28 00:00:00,
Confirmed,https://techxflorida.com/,TechX Florida 2026 Tech Conference,"A free conference for students, professionals, academia and tech enthusiasts that brought 336 attendees last year.","Marshall Student Center, University of South Florida, Tampa, FL",,,2026-10-24 00:00:00,11:00:00,2026-10-24 00:00:00,17:00:00
Pending,https://tampa.dev/events/ae23b726-ea05-4a5c-b64a-e66ac530c2eb,Known and Unknowns: Testing AI Generated Code,"Let's face it AI-assisted coding is rapidly becoming the primary way applications are being written. The power of being able to write out a complicated application or feature with a just a few commands is something too alluring to pass up. But between the imprecise nature of language and LLMs ability to ""hallucinate"", this creates many opportunities for bugs and unintended behavior to introduced. Just telling an AI coding agent to ""write tests"" isn't going to be enough to build confidence in the","Hillsborough Community College, Tampa, FL",,,2026-09-24,,2026-09-24,
Pending,https://tampa.dev/events/1fd3cc4b-b4e0-4783-8a5b-94a05ddfb917,Known and Unknowns: Testing AI-Generated Code,"Tampa QA Meetup × Tampa JUG Present × Tampa Bay Tech & Beer AI-assisted coding is quickly becoming the primary way applications are built. While it allows developers to create complex applications and features with only a few prompts, ambiguous language and AI hallucinations can introduce bugs, hidden assumptions, and unintended behavior. Simply asking an AI coding agent to “write tests” isn’t enough to guarantee correctness. Billy Korando is a Developer Advocate at Oracle and a member of the Ja","Hillsborough College - Dale Mabry Campus, Tampa, FL",,,2026-09-24,,2026-09-24,
Pending,https://tampa.dev/events/e0191419-bdab-4692-843c-107941c6d92d,Known and Unknowns: Testing AI-Generated Code,"Tampa QA Meetup × Tampa JUG Present × Tampa Bay Tech & Beer AI-assisted coding is quickly becoming the primary way applications are built. While it allows developers to create complex applications and features with only a few prompts, ambiguous language and AI hallucinations can introduce bugs, hidden assumptions, and unintended behavior. Simply asking an AI coding agent to “write tests” isn’t enough to guarantee correctness. Billy Korando is a Developer Advocate at Oracle and a member of the Ja","Hillsborough Community College - Dale Mabry Campus, Tampa, FL",,,2026-09-24,,2026-09-24,
Pending,https://tampa.dev/events/60385b40-da97-42d3-9538-c369c5218c89,AWS Transform,"Cloud migration is no longer the finish line. Today's organizations are under pressure to reduce technical debt, modernize legacy applications, lower licensing costs, and prepare their environments for AI-driven development. Everyone is talking about AI-generated code, but what about the millions of lines of legacy code already running your business? In this session, we'll explore how AWS Transform can help organizations modernize applications, reduce technical debt, and turn legacy systems into","Entrepreneur Collaborative Center (ECC), Tampa, FL",,,2026-09-30,,2026-09-30,
Pending,https://members.tampabay.tech/communityeventscalendar/Details/evolve-with-apprenticeships-it-focus-with-careersource-tampa-bay-and-tampa-bay-tech-1919792?sourceTypeId=Website,Evolve with Apprenticeships: IT Focus with CareerSource Tampa Bay and Tampa Bay Tech,"How Leading Employers Are Solving the Talent Shortage Through Apprenticeships The workforce is changing faster than ever. Between AI, evolving skill requirements, an aging workforce, and increasing competition for experienced talent, employers are ...","Tampa, FL",,,2026-09-30,,2026-09-30,
